epoch,accuracy,loss,val_accuracy,val_loss
0,0.632494092,1.120888114,0.788563848,0.740434229
1,0.821950674,0.600453079,0.854055822,0.502000213
2,0.866804481,0.457140476,0.859042525,0.463036627
3,0.884561419,0.389878482,0.888630331,0.412669152
4,0.900952458,0.339726329,0.864694178,0.4617019
5,0.914648533,0.300919175,0.872672856,0.426102936
6,0.920149148,0.282394916,0.89128989,0.37503469
7,0.924136162,0.258956581,0.893284559,0.364933819
8,0.930227399,0.241794631,0.892619669,0.365905076
9,0.933771431,0.233360529,0.881316483,0.413585961
10,0.937241554,0.219805792,0.90691489,0.330798358
11,0.940674841,0.214656278,0.896941483,0.362012267
12,0.943960428,0.200521648,0.905252635,0.340543211
13,0.947910488,0.191914335,0.895611703,0.379324526
14,0.94720912,0.190293804,0.894614339,0.365151376
15,0.945030987,0.195568398,0.890625,0.401740104
16,0.947172165,0.189905375,0.902260661,0.363686383
17,0.94864887,0.179767549,0.900598407,0.353631169
18,0.950420856,0.175691843,0.908909559,0.341786176
19,0.950716197,0.177976429,0.890292525,0.384765506
20,0.952118993,0.174633861,0.89128989,0.386151224
21,0.952488184,0.167183712,0.896609068,0.394059598
22,0.953891039,0.166637346,0.901595771,0.357280612
23,0.951971352,0.172095671,0.898936152,0.386593878
24,0.95555228,0.162352249,0.899933517,0.389331043
25,0.95684433,0.159396634,0.910239339,0.339413583
26,0.952414334,0.170582697,0.90691489,0.3567985
27,0.955146194,0.164870217,0.90691489,0.357446432
28,0.957250416,0.15527083,0.896276593,0.40341571
29,0.953521848,0.162358299,0.89195478,0.400236666
